Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
"Hot Springs, AR",99043,5227,6157,4897,5626,5218,5802,5376,6121,5001,5745,6002,7027,7348,6610,6612,4272,3260,2742,79150,45.1,92,78,42.2,35.7,47468,2683,3303,2299,2848,2647,2843,2600,2718,2549,2828,2882,3281,3507,3054,2958,2250,1310,908,37465,43.4,,,,,,5.7,7,4.8,6,5.6,6,5.5,5.7,5.4,6,6.1,6.9,7.4,6.4,6.2,4.7,2.8,1.9,78.9,,,,,,51575,2544,2854,2598,2778,2571,2959,2776,3403,2452,2917,3120,3746,3841,3556,3654,2022,1950,1834,41685,46.4,,,,,,4.9,5.5,5,5.4,5,5.7,5.4,6.6,4.8,5.7,6,7.3,7.4,6.9,7.1,3.9,3.8,3.6,80.8,,,,,
"Houghton, MI",37992,1924,1959,2315,3613,5355,2178,1853,1650,1918,1681,1897,2297,2416,2248,1728,1291,635,1034,30440,34.5,117.3,61.6,29.5,32.1,20510,1019,1101,1175,2179,3553,1186,978,798,1024,864,969,1238,1113,1149,885,663,281,335,16543,30.2,,,,,,5,5.4,5.7,10.6,17.3,5.8,4.8,3.9,5,4.2,4.7,6,5.4,5.6,4.3,3.2,1.4,1.6,80.7,,,,,,17482,905,858,1140,1434,1802,992,875,852,894,817,928,1059,1303,1099,843,628,354,699,13897,39.2,,,,,,5.2,4.9,6.5,8.2,10.3,5.7,5,4.9,5.1,4.7,5.3,6.1,7.5,6.3,4.8,3.6,2,4,79.5,,,,,
"Houma-Thibodaux, LA",209277,13931,13352,15454,13078,12505,15338,14690,14200,11409,12772,13899,13666,13473,10734,7867,6326,3371,3212,158278,37,96.5,65.1,24.9,40.2,102751,7069,6381,8176,6791,6201,7579,7481,7242,5438,6316,6600,7018,6399,5240,3619,2816,1234,1151,76908,36.3,,,,,,6.9,6.2,8,6.6,6,7.4,7.3,7,5.3,6.1,6.4,6.8,6.2,5.1,3.5,2.7,1.2,1.1,74.8,,,,,,106526,6862,6971,7278,6287,6304,7759,7209,6958,5971,6456,7299,6648,7074,5494,4248,3510,2137,2061,81370,38,,,,,,6.4,6.5,6.8,5.9,5.9,7.3,6.8,6.5,5.6,6.1,6.9,6.2,6.6,5.2,4,3.3,2,1.9,76.4,,,,,
"Houston-The Woodlands-Sugar Land, TX",6979613,504600,509962,533391,485752,454655,522073,526366,512355,483695,464524,425898,416007,363361,289688,199885,129469,78711,79221,5124318,34.5,98.4,60.5,17.9,42.7,3461935,256969,259868,271599,249020,230505,262161,264230,254527,243101,230251,210694,204921,175687,137132,92683,58635,32708,27244,2516830,33.8,,,,,,7.4,7.5,7.8,7.2,6.7,7.6,7.6,7.4,7,6.7,6.1,5.9,5.1,4,2.7,1.7,0.9,0.8,72.7,,,,,,3517678,247631,250094,261792,236732,224150,259912,262136,257828,240594,234273,215204,211086,187674,152556,107202,70834,46003,51977,2607488,35.3,,,,,,7,7.1,7.4,6.7,6.4,7.4,7.5,7.3,6.8,6.7,6.1,6,5.3,4.3,3,2,1.3,1.5,74.1,,,,,
"Hudson, NY",60016,2445,2550,3110,3213,2993,3512,3174,3457,2888,3815,4503,5064,4935,4414,3935,2722,1630,1656,49646,48.5,99.6,70.1,40.7,29.4,29953,1090,1176,1840,1851,1550,1834,1550,1794,1328,1949,2247,2520,2472,2228,1849,1333,773,569,24533,47.6,,,,,,3.6,3.9,6.1,6.2,5.2,6.1,5.2,6,4.4,6.5,7.5,8.4,8.3,7.4,6.2,4.5,2.6,1.9,81.9,,,,,,30063,1355,1374,1270,1362,1443,1678,1624,1663,1560,1866,2256,2544,2463,2186,2086,1389,857,1087,25113,49.4,,,,,,4.5,4.6,4.2,4.5,4.8,5.6,5.4,5.5,5.2,6.2,7.5,8.5,8.2,7.3,6.9,4.6,2.9,3.6,83.5,,,,,
"Huntingdon, PA",45145,2013,2272,2381,2805,2944,2747,2572,2624,2781,2945,3087,3229,3308,2801,2602,1714,1186,1134,36984,44.1,113.8,63.9,34.3,29.6,24026,996,1165,1198,1430,1588,1668,1507,1563,1623,1678,1695,1804,1650,1343,1368,802,583,365,19886,42.7,,,,,,4.1,4.8,5,6,6.6,6.9,6.3,6.5,6.8,7,7.1,7.5,6.9,5.6,5.7,3.3,2.4,1.5,82.8,,,,,,21119,1017,1107,1183,1375,1356,1079,1065,1061,1158,1267,1392,1425,1658,1458,1234,912,603,769,17098,45.6,,,,,,4.8,5.2,5.6,6.5,6.4,5.1,5,5,5.5,6,6.6,6.7,7.9,6.9,5.8,4.3,2.9,3.6,81,,,,,
"Huntington, IN",36351,2052,2132,2251,2438,2457,2224,2142,1931,2364,2271,2364,2897,2496,2038,1487,1163,732,912,28536,41.4,97.8,63.7,28.5,35.2,17974,1035,1120,1106,1288,1255,1122,1104,988,1231,1166,1173,1469,1198,989,693,416,262,359,13978,39.8,,,,,,5.8,6.2,6.2,7.2,7,6.2,6.1,5.5,6.8,6.5,6.5,8.2,6.7,5.5,3.9,2.3,1.5,2,77.8,,,,,,18377,1017,1012,1145,1150,1202,1102,1038,943,1133,1105,1191,1428,1298,1049,794,747,470,553,14558,42.9,,,,,,5.5,5.5,6.2,6.3,6.5,6,5.6,5.1,6.2,6,6.5,7.8,7.1,5.7,4.3,4.1,2.6,3,79.2,,,,,
"Huntington-Ashland, WV-KY-OH",359481,20014,21339,21629,22281,23359,22134,20104,22034,21399,23287,23426,24833,24684,22206,17764,12812,8611,7565,283014,41.5,96.3,67.9,32.2,35.7,176346,10472,10804,11353,11714,11723,11381,9891,11493,10152,11605,11507,11796,11890,10763,7958,5869,3462,2513,136531,39.8,,,,,,5.9,6.1,6.4,6.6,6.6,6.5,5.6,6.5,5.8,6.6,6.5,6.7,6.7,6.1,4.5,3.3,2,1.4,77.4,,,,,,183135,9542,10535,10276,10567,11636,10753,10213,10541,11247,11682,11919,13037,12794,11443,9806,6943,5149,5052,146483,43.2,,,,,,5.2,5.8,5.6,5.8,6.4,5.9,5.6,5.8,6.1,6.4,6.5,7.1,7,6.2,5.4,3.8,2.8,2.8,80,,,,,
"Huntsville, AL",464607,26956,27563,29489,30001,30078,33019,31881,29611,28030,30260,33499,34897,29333,21859,19113,11534,10046,7438,362480,38.8,96.3,58.8,23.9,34.9,227902,13682,14222,14700,15053,15249,17052,15909,14524,13908,14703,16513,17049,14516,10266,8664,4949,4270,2673,176249,37.6,,,,,,6,6.2,6.5,6.6,6.7,7.5,7,6.4,6.1,6.5,7.2,7.5,6.4,4.5,3.8,2.2,1.9,1.2,77.3,,,,,,236705,13274,13341,14789,14948,14829,15967,15972,15087,14122,15557,16986,17848,14817,11593,10449,6585,5776,4765,186231,40.1,,,,,,5.6,5.6,6.2,6.3,6.3,6.7,6.7,6.4,6,6.6,7.2,7.5,6.3,4.9,4.4,2.8,2.4,2,78.7,,,,,
"Huntsville, TX",72295,3032,2847,2991,6311,10410,4886,5196,5370,4324,4756,4568,4301,3988,3070,2540,1427,1005,1273,61615,35.3,140.8,38.2,17.8,20.4,42269,1605,1685,1319,3149,5429,3057,3564,3563,2981,3407,3092,2804,2140,1641,1272,716,514,331,36557,36.7,,,,,,3.8,4,3.1,7.4,12.8,7.2,8.4,8.4,7.1,8.1,7.3,6.6,5.1,3.9,3,1.7,1.2,0.8,86.5,,,,,,30026,1427,1162,1672,3162,4981,1829,1632,1807,1343,1349,1476,1497,1848,1429,1268,711,491,942,25058,31.4,,,,,,4.8,3.9,5.6,10.5,16.6,6.1,5.4,6,4.5,4.5,4.9,5,6.2,4.8,4.2,2.4,1.6,3.1,83.5,,,,,
"Huron, SD",20347,1645,1753,1284,1043,824,1252,1445,983,1179,890,1075,1520,1464,1072,1108,575,469,766,14975,39.6,102.7,85.2,36.3,48.9,10311,742,908,605,602,407,710,747,573,619,461,597,786,699,603,534,306,217,195,7680,38.7,,,,,,7.2,8.8,5.9,5.8,3.9,6.9,7.2,5.6,6,4.5,5.8,7.6,6.8,5.8,5.2,3,2.1,1.9,74.5,,,,,,10036,903,845,679,441,417,542,698,410,560,429,478,734,765,469,574,269,252,571,7295,40.6,,,,,,9,8.4,6.8,4.4,4.2,5.4,7,4.1,5.6,4.3,4.8,7.3,7.6,4.7,5.7,2.7,2.5,5.7,72.7,,,,,
"Hutchinson, KS",62421,3503,3707,4357,4064,3677,3775,3496,3947,3709,3604,3624,4145,4439,3867,2750,2244,1651,1862,48382,40.9,100.9,73.4,34.4,39,31355,1911,1955,2097,2062,2016,2078,1792,2062,2123,1836,1846,1974,2279,1850,1225,1058,687,504,24128,39.1,,,,,,6.1,6.2,6.7,6.6,6.4,6.6,5.7,6.6,6.8,5.9,5.9,6.3,7.3,5.9,3.9,3.4,2.2,1.6,77,,,,,,31066,1592,1752,2260,2002,1661,1697,1704,1885,1586,1768,1778,2171,2160,2017,1525,1186,964,1358,24254,42.8,,,,,,5.1,5.6,7.3,6.4,5.3,5.5,5.5,6.1,5.1,5.7,5.7,7,7,6.5,4.9,3.8,3.1,4.4,78.1,,,,,
"Hutchinson, MN",35788,2062,2341,2345,2239,1970,2042,2264,2258,2022,2268,2416,2402,2481,2113,1425,1251,954,935,27561,40.9,99,71.4,32,39.4,17808,1106,1299,1075,1108,1009,1097,1156,1303,853,1165,1211,1228,1199,1070,614,522,418,375,13549,38.7,,,,,,6.2,7.3,6,6.2,5.7,6.2,6.5,7.3,4.8,6.5,6.8,6.9,6.7,6,3.4,2.9,2.3,2.1,76.1,,,,,,17980,956,1042,1270,1131,961,945,1108,955,1169,1103,1205,1174,1282,1043,811,729,536,560,14012,43.3,,,,,,5.3,5.8,7.1,6.3,5.3,5.3,6.2,5.3,6.5,6.1,6.7,6.5,7.1,5.8,4.5,4.1,3,3.1,77.9,,,,,
"Idaho Falls, ID",148811,12350,13510,12905,11125,9037,9882,10091,10452,8961,7730,7387,8118,8043,6673,4819,3329,2119,2280,102513,32.9,101.1,78.7,23.1,55.6,74813,6490,7058,6409,5808,4617,4856,5159,5197,4507,3908,3754,4057,4162,3157,2281,1530,1023,840,51028,32.3,,,,,,8.7,9.4,8.6,7.8,6.2,6.5,6.9,6.9,6,5.2,5,5.4,5.6,4.2,3,2,1.4,1.1,68.2,,,,,,73998,5860,6452,6496,5317,4420,5026,4932,5255,4454,3822,3633,4061,3881,3516,2538,1799,1096,1440,51485,33.5,,,,,,7.9,8.7,8.8,7.2,6,6.8,6.7,7.1,6,5.2,4.9,5.5,5.2,4.8,3.4,2.4,1.5,1.9,69.6,,,,,
"Indiana, PA",84463,3994,3927,4536,7181,9145,4582,4535,4175,4190,4641,5188,6421,5652,5204,4075,2564,1958,2495,69264,40.2,100.4,59.5,30.8,28.7,42317,2102,2168,2202,3473,4639,2525,2505,2138,2091,2380,2643,3108,2934,2397,2109,1187,757,959,34440,38.4,,,,,,5,5.1,5.2,8.2,11,6,5.9,5.1,4.9,5.6,6.2,7.3,6.9,5.7,5,2.8,1.8,2.3,81.4,,,,,,42146,1892,1759,2334,3708,4506,2057,2030,2037,2099,2261,2545,3313,2718,2807,1966,1377,1201,1536,34824,42.1,,,,,,4.5,4.2,5.5,8.8,10.7,4.9,4.8,4.8,5,5.4,6,7.9,6.4,6.7,4.7,3.3,2.8,3.6,82.6,,,,,
"Indianapolis-Carmel-Anderson, IN",2050933,135514,139799,145292,133430,130681,149656,145451,143289,129111,132703,131722,135268,118495,98267,69491,47155,31058,34551,1545830,36.6,95.6,62.1,22.2,39.9,1002546,69561,71498,74461,68430,65097,73680,71497,69959,64149,65598,64610,65266,56686,45563,31665,20650,12526,11650,743935,35.5,,,,,,6.9,7.1,7.4,6.8,6.5,7.3,7.1,7,6.4,6.5,6.4,6.5,5.7,4.5,3.2,2.1,1.2,1.2,74.2,,,,,,1048387,65953,68301,70831,65000,65584,75976,73954,73330,64962,67105,67112,70002,61809,52704,37826,26505,18532,22901,801895,37.7,,,,,,6.3,6.5,6.8,6.2,6.3,7.2,7.1,7,6.2,6.4,6.4,6.7,5.9,5,3.6,2.5,1.8,2.2,76.5,,,,,
"Indianola, MS",25759,1429,1392,1901,1650,2007,2343,1873,1561,1723,1703,1667,1726,1309,1262,826,538,434,415,20076,36.3,111.5,55.2,20.9,34.2,13581,726,729,855,834,1073,1511,1189,878,1045,1008,866,822,605,512,429,295,118,86,10807,34.5,,,,,,5.3,5.4,6.3,6.1,7.9,11.1,8.8,6.5,7.7,7.4,6.4,6.1,4.5,3.8,3.2,2.2,0.9,0.6,79.6,,,,,,12178,703,663,1046,816,934,832,684,683,678,695,801,904,704,750,397,243,316,329,9269,38.1,,,,,,5.8,5.4,8.6,6.7,7.7,6.8,5.6,5.6,5.6,5.7,6.6,7.4,5.8,6.2,3.3,2,2.6,2.7,76.1,,,,,
"Iowa City, IA",172919,10261,9717,10074,14161,24408,14210,11679,11019,9853,9031,8710,9536,8550,7374,5649,3297,2435,2955,137395,31.4,98.3,49.5,18.8,30.7,85737,5211,4957,5026,6945,11989,7372,6012,5768,5040,4535,4357,4714,4076,3660,2599,1476,1029,971,67665,30.9,,,,,,6.1,5.8,5.9,8.1,14,8.6,7,6.7,5.9,5.3,5.1,5.5,4.8,4.3,3,1.7,1.2,1.1,78.9,,,,,,87182,5050,4760,5048,7216,12419,6838,5667,5251,4813,4496,4353,4822,4474,3714,3050,1821,1406,1984,69730,31.9,,,,,,5.8,5.5,5.8,8.3,14.2,7.8,6.5,6,5.5,5.2,5,5.5,5.1,4.3,3.5,2.1,1.6,2.3,80,,,,,
"Iron Mountain, MI-WI",29685,1461,1652,1547,1546,1369,1461,1518,1520,1588,1641,2170,2571,2694,2190,1598,1405,764,990,24007,48.4,100.6,74,40.7,33.3,14884,729,887,784,804,746,788,784,742,838,832,1099,1297,1324,1062,866,549,340,413,11961,47.1,,,,,,4.9,6,5.3,5.4,5,5.3,5.3,5,5.6,5.6,7.4,8.7,8.9,7.1,5.8,3.7,2.3,2.8,80.4,,,,,,14801,732,765,763,742,623,673,734,778,750,809,1071,1274,1370,1128,732,856,424,577,12046,50.4,,,,,,4.9,5.2,5.2,5,4.2,4.5,5,5.3,5.1,5.5,7.2,8.6,9.3,7.6,4.9,5.8,2.9,3.9,81.4,,,,,
"Ithaca, NY",102237,3972,4219,4058,12477,17510,7038,5802,5696,4979,4868,5405,5723,5850,5005,3791,2386,1611,1847,87168,31.3,97.7,41,20.2,20.8,50533,2164,2105,2164,5938,9514,3511,2975,2682,2399,2298,2693,2806,2731,2313,1834,1109,671,626,42473,29.8,,,,,,4.3,4.2,4.3,11.8,18.8,6.9,5.9,5.3,4.7,4.5,5.3,5.6,5.4,4.6,3.6,2.2,1.3,1.2,84.1,,,,,,51704,1808,2114,1894,6539,7996,3527,2827,3014,2580,2570,2712,2917,3119,2692,1957,1277,940,1221,44695,33.6,,,,,,3.5,4.1,3.7,12.6,15.5,6.8,5.5,5.8,5,5,5.2,5.6,6,5.2,3.8,2.5,1.8,2.4,86.4,,,,,
"Jackson, MI",158174,8938,9424,9640,9848,9913,10611,9300,8689,9776,10254,10871,11837,11148,9385,7143,4474,3362,3561,124082,41.6,104.3,64.5,29,35.5,80754,4543,5198,4660,5096,5367,5762,4920,4669,5357,5324,5639,6030,5441,4586,3438,1957,1475,1292,63223,40.2,,,,,,5.6,6.4,5.8,6.3,6.6,7.1,6.1,5.8,6.6,6.6,7,7.5,6.7,5.7,4.3,2.4,1.8,1.6,78.3,,,,,,77420,4395,4226,4980,4752,4546,4849,4380,4020,4419,4930,5232,5807,5707,4799,3705,2517,1887,2269,60859,43,,,,,,5.7,5.5,6.4,6.1,5.9,6.3,5.7,5.2,5.7,6.4,6.8,7.5,7.4,6.2,4.8,3.3,2.4,2.9,78.6,,,,,
"Jackson, MS",596287,37089,39577,41377,41278,40268,42612,40484,41120,36291,37011,36462,39291,36473,30926,21565,14612,9571,10280,453255,36.8,91.9,62.8,23.7,39,285544,19035,20057,21329,20406,19808,20873,19649,19184,18129,17683,17261,17831,17448,14574,9103,6164,3682,3328,212720,35.4,,,,,,6.7,7,7.5,7.1,6.9,7.3,6.9,6.7,6.3,6.2,6,6.2,6.1,5.1,3.2,2.2,1.3,1.2,74.5,,,,,,310743,18054,19520,20048,20872,20460,21739,20835,21936,18162,19328,19201,21460,19025,16352,12462,8448,5889,6952,240535,38,,,,,,5.8,6.3,6.5,6.7,6.6,7,6.7,7.1,5.8,6.2,6.2,6.9,6.1,5.3,4,2.7,1.9,2.2,77.4,,,,,
"Jackson, OH",32440,2149,1996,2245,1945,1814,2117,2061,1832,2133,2031,2048,2507,2004,1863,1546,935,690,524,24761,40.1,96.2,68.9,28.9,40,15906,1047,972,1178,1044,935,1117,1033,1073,909,1000,1008,1230,935,926,660,379,302,158,12022,37.9,,,,,,6.6,6.1,7.4,6.6,5.9,7,6.5,6.7,5.7,6.3,6.3,7.7,5.9,5.8,4.1,2.4,1.9,1,75.6,,,,,,16534,1102,1024,1067,901,879,1000,1028,759,1224,1031,1040,1277,1069,937,886,556,388,366,12739,41.4,,,,,,6.7,6.2,6.5,5.4,5.3,6,6.2,4.6,7.4,6.2,6.3,7.7,6.5,5.7,5.4,3.4,2.3,2.2,77,,,,,
"Jackson, TN",178601,10932,10828,12070,12927,11811,11383,10279,10910,10016,10867,11538,12356,11746,10233,7811,5521,3777,3596,137575,39.1,90.8,67.5,29,38.5,85015,5632,5316,6176,6213,5764,5591,4881,5766,4321,5197,5477,5626,5682,4775,3659,2152,1571,1216,64349,37.2,,,,,,6.6,6.3,7.3,7.3,6.8,6.6,5.7,6.8,5.1,6.1,6.4,6.6,6.7,5.6,4.3,2.5,1.8,1.4,75.7,,,,,,93586,5300,5512,5894,6714,6047,5792,5398,5144,5695,5670,6061,6730,6064,5458,4152,3369,2206,2380,73226,40.9,,,,,,5.7,5.9,6.3,7.2,6.5,6.2,5.8,5.5,6.1,6.1,6.5,7.2,6.5,5.8,4.4,3.6,2.4,2.5,78.2,,,,,
"Jackson, WY-ID",35132,1790,2161,2138,1632,1701,2839,3054,2669,3333,2439,2133,1862,2533,2138,1111,859,400,340,28049,39.4,109.7,51.4,20.9,30.5,18376,946,1290,1054,729,909,1594,1619,1422,1624,1324,1157,1013,1272,1113,554,480,130,146,14542,39,,,,,,5.1,7,5.7,4,4.9,8.7,8.8,7.7,8.8,7.2,6.3,5.5,6.9,6.1,3,2.6,0.7,0.8,79.1,,,,,,16756,844,871,1084,903,792,1245,1435,1247,1709,1115,976,849,1261,1025,557,379,270,194,13507,39.9,,,,,,5,5.2,6.5,5.4,4.7,7.4,8.6,7.4,10.2,6.7,5.8,5.1,7.5,6.1,3.3,2.3,1.6,1.2,80.6,,,,,
"Jacksonville, FL",1533796,94488,93912,98559,91072,92890,113395,109240,100407,95001,97859,101372,107660,95994,83960,64603,41603,25863,25918,1190059,38.6,95.2,61.8,25.5,36.3,748095,48193,48127,50133,46825,47546,56998,54160,48422,47163,47702,49062,51103,45129,39699,29209,18232,10703,9689,572510,37.1,,,,,,6.4,6.4,6.7,6.3,6.4,7.6,7.2,6.5,6.3,6.4,6.6,6.8,6,5.3,3.9,2.4,1.4,1.3,76.5,,,,,,785701,46295,45785,48426,44247,45344,56397,55080,51985,47838,50157,52310,56557,50865,44261,35394,23371,15160,16229,617549,39.9,,,,,,5.9,5.8,6.2,5.6,5.8,7.2,7,6.6,6.1,6.4,6.7,7.2,6.5,5.6,4.5,3,1.9,2.1,78.6,,,,,
"Jacksonville, IL",38994,2014,2239,1994,2519,2914,2312,2355,2298,2299,2225,2462,2674,2844,2400,1861,1347,982,1255,31447,41.5,100.3,65.2,33.2,32,19531,995,1089,1017,1344,1533,1227,1252,1403,1149,1123,1236,1397,1294,1169,868,625,440,370,15726,39.5,,,,,,5.1,5.6,5.2,6.9,7.8,6.3,6.4,7.2,5.9,5.7,6.3,7.2,6.6,6,4.4,3.2,2.3,1.9,80.5,,,,,,19463,1019,1150,977,1175,1381,1085,1103,895,1150,1102,1226,1277,1550,1231,993,722,542,885,15721,43.8,,,,,,5.2,5.9,5,6,7.1,5.6,5.7,4.6,5.9,5.7,6.3,6.6,8,6.3,5.1,3.7,2.8,4.5,80.8,,,,,
"Jacksonville, NC",198377,17143,12752,12264,14974,34716,20606,15961,11542,8915,7734,7766,8431,7334,6563,4332,3743,1920,1681,150254,26.5,124.6,50.3,13.8,36.5,110051,8674,6322,6369,9940,25452,11925,8318,5952,4405,3797,3551,3898,3345,3279,1823,1518,890,593,85701,24.6,,,,,,7.9,5.7,5.8,9,23.1,10.8,7.6,5.4,4,3.5,3.2,3.5,3,3,1.7,1.4,0.8,0.5,77.9,,,,,,88326,8469,6430,5895,5034,9264,8681,7643,5590,4510,3937,4215,4533,3989,3284,2509,2225,1030,1088,64553,30.2,,,,,,9.6,7.3,6.7,5.7,10.5,9.8,8.7,6.3,5.1,4.5,4.8,5.1,4.5,3.7,2.8,2.5,1.2,1.2,73.1,,,,,
"Jacksonville, TX",52341,3685,3818,3475,3704,3399,3264,3079,3126,2967,3260,3134,3000,3316,3102,2130,1655,1141,1086,39095,37.9,104.6,74.6,30.4,44.2,26763,1878,1998,1801,2098,1894,1678,1664,1475,1553,1785,1648,1553,1557,1571,874,864,461,411,19855,36.6,,,,,,7,7.5,6.7,7.8,7.1,6.3,6.2,5.5,5.8,6.7,6.2,5.8,5.8,5.9,3.3,3.2,1.7,1.5,74.2,,,,,,25578,1807,1820,1674,1606,1505,1586,1415,1651,1414,1475,1486,1447,1759,1531,1256,791,680,675,19240,39,,,,,,7.1,7.1,6.5,6.3,5.9,6.2,5.5,6.5,5.5,5.8,5.8,5.7,6.9,6,4.9,3.1,2.7,2.6,75.2,,,,,
"Jamestown, ND",20879,1246,1236,1028,1321,1629,1270,1393,1235,1083,1074,1252,1359,1765,1546,614,744,423,661,16663,40.2,103.6,64.7,31.5,33.3,10623,638,540,561,667,881,686,728,642,605,581,674,800,828,771,264,359,150,248,8545,39.6,,,,,,6,5.1,5.3,6.3,8.3,6.5,6.9,6,5.7,5.5,6.3,7.5,7.8,7.3,2.5,3.4,1.4,2.3,80.4,,,,,,10256,608,696,467,654,748,584,665,593,478,493,578,559,937,775,350,385,273,413,8118,40.6,,,,,,5.9,6.8,4.6,6.4,7.3,5.7,6.5,5.8,4.7,4.8,5.6,5.5,9.1,7.6,3.4,3.8,2.7,4,79.2,,,,,
"Jamestown-Dunkirk-Fredonia, NY",127584,6968,6811,7547,8880,7985,7588,7404,6771,6728,7573,8363,9625,9694,8354,6020,4440,2961,3872,101594,42.8,97.4,68,33.8,34.2,62961,3483,3341,3924,4463,4194,4017,3759,3177,3483,3801,4185,4698,4872,3935,3010,2218,1204,1197,49840,41.6,,,,,,5.5,5.3,6.2,7.1,6.7,6.4,6,5,5.5,6,6.6,7.5,7.7,6.2,4.8,3.5,1.9,1.9,79.2,,,,,,64623,3485,3470,3623,4417,3791,3571,3645,3594,3245,3772,4178,4927,4822,4419,3010,2222,1757,2675,51754,44.2,,,,,,5.4,5.4,5.6,6.8,5.9,5.5,5.6,5.6,5,5.8,6.5,7.6,7.5,6.8,4.7,3.4,2.7,4.1,80.1,,,,,
"Janesville-Beloit, WI",162532,9756,10405,10795,10724,9919,9877,10084,10104,9825,10335,11044,11680,11028,8820,6936,4000,3824,3376,124855,39.8,97,66,27.5,38.5,80043,5065,5302,5607,5434,5088,4978,4992,5073,4830,5100,5455,5527,5606,4288,3029,1969,1701,999,60675,38.5,,,,,,6.3,6.6,7,6.8,6.4,6.2,6.2,6.3,6,6.4,6.8,6.9,7,5.4,3.8,2.5,2.1,1.2,75.8,,,,,,82489,4691,5103,5188,5290,4831,4899,5092,5031,4995,5235,5589,6153,5422,4532,3907,2031,2123,2377,64180,41.2,,,,,,5.7,6.2,6.3,6.4,5.9,5.9,6.2,6.1,6.1,6.3,6.8,7.5,6.6,5.5,4.7,2.5,2.6,2.9,77.8,,,,,
"Jasper, AL",63802,3898,3915,3817,3892,3650,3958,3685,3979,3280,3975,4428,4709,4246,3668,3679,2335,1321,1367,49657,42,96.5,71.1,33.2,37.9,31336,2155,2131,1876,2029,1908,2018,1762,2111,1454,2024,2228,2096,2125,1605,1787,967,668,392,23827,39.2,,,,,,6.9,6.8,6,6.5,6.1,6.4,5.6,6.7,4.6,6.5,7.1,6.7,6.8,5.1,5.7,3.1,2.1,1.3,76,,,,,,32466,1743,1784,1941,1863,1742,1940,1923,1868,1826,1951,2200,2613,2121,2063,1892,1368,653,975,25830,44.3,,,,,,5.4,5.5,6,5.7,5.4,6,5.9,5.8,5.6,6,6.8,8,6.5,6.4,5.8,4.2,2,3,79.6,,,,,
"Jasper, IN",54898,3493,3685,3652,3449,3013,3032,3096,3184,3218,3173,3786,4156,4105,3164,2329,1699,1272,1392,41846,41.4,98.6,71.6,30.8,40.8,27262,1823,1793,1928,1606,1553,1571,1570,1441,1909,1637,1936,2022,2113,1624,1025,677,432,602,20642,40.9,,,,,,6.7,6.6,7.1,5.9,5.7,5.8,5.8,5.3,7,6,7.1,7.4,7.8,6,3.8,2.5,1.6,2.2,75.7,,,,,,27636,1670,1892,1724,1843,1460,1461,1526,1743,1309,1536,1850,2134,1992,1540,1304,1022,840,790,21204,42,,,,,,6,6.8,6.2,6.7,5.3,5.3,5.5,6.3,4.7,5.6,6.7,7.7,7.2,5.6,4.7,3.7,3,2.9,76.7,,,,,
